,City,Shape,Quantidade
2,Garden Grove,Rectangle,29.0
11,Carlsbad,Light,39.0
13,Milford,Disk,2.0
19,Daggett,Rectangle,1.0
35,El Centro,Oval,14.0
46,Los Angeles (Eagle Rock),Disk,1.0
74,Los Osos,Sphere,4.0
77,San Diego,Circle,269.0
79,Goleta,Circle,16.0
82,Beal AFB,Disk,1.0
88,Richmond,Disk,12.0
94,Soquel,Other,4.0
95,Northern California,Light,1.0
113,Los Angeles,Unknown,249.0
131,Montebello,Light,9.0
137,Salinas,Fireball,23.0
143,Rancho Tehama,Disk,1.0
149,Valencia,Triangle,8.0
158,Los Angeles,Disk,249.0
186,Lockwood,Cigar,1.0
189,Roseville,Circle,38.0
192,Pebble Beach,Unknown,3.0
193,Santa Rosa,Disk,67.0
198,Crestline (Silverwood Lake),Triangle,1.0
200,Tracy (near; on I-5; close to Gilroy),Circle,1.0
206,Lake Alpine,Sphere,2.0
208,Modesto,Triangle,67.0
245,Sacramento,Triangle,175.0
252,San Francisco,Sphere,122.0
268,Carmel,Circle,5.0
285,Palm Springs,Circle,36.0
287,Sacramento,Other,175.0
292,Compton,Egg,6.0
311,Bakersfield,Circle,63.0
323,Shingletown,Circle,1.0
340,Sacramento,Unknown,175.0
348,Ventura,Unknown,47.0
353,Gonzales,Changing,2.0
357,Los Osos,Cylinder,4.0
365,Rowland Heights,Light,3.0
376,Coalinga,Triangle,9.0
377,Bay Point/ Pittsburg,Other,1.0
387,San Jose,Unknown,159.0
394,San Diego,Circle,269.0
396,Grapevine,Light,3.0
397,Ivanhoe,Light,1.0
416,San Jose,Disk,159.0
457,Lancaster,Triangle,28.0
462,Anaheim,Fireball,60.0
470,San Francisco,Light,122.0
472,San Mateo,Disk,11.0
474,Torrance,Triangle,33.0
480,Lake Shasta,Light,2.0
492,Orland,Triangle,13.0
507,Clovis,Light,29.0
523,Elk Grove,Other,33.0
538,Palm Springs (outside of),Triangle,1.0
551,Perris,Circle,11.0
553,Del Mar (Rancho Sante Fe),Formation,1.0
560,Anderson,Cigar,12.0
561,Los Angeles,Triangle,249.0
571,Hollister,Circle,22.0
588,Salida,Triangle,2.0
614,San Francisco,Formation,122.0
615,San Pedro,Oval,20.0
617,Joshua Tree National Park,Oval,3.0
626,Lake City,Light,1.0
630,Los Angeles,Triangle,249.0
645,Stockton,Disk,34.0
653,Santa Rosa,Sphere,67.0
656,Yorba Linda,Other,12.0
663,Fresno,Triangle,96.0
666,Campo,Changing,1.0
667,Los Angeles,Triangle,249.0
669,Canoga Park,Sphere,12.0
672,San Jose,Oval,159.0
675,San Francisco,Light,122.0
702,Whittier,Light,28.0
708,Madera,Light,18.0
717,Roseville,Triangle,38.0
738,Oceanside,Light,32.0
741,Sacramento,Circle,175.0
746,Rio Dell,,2.0
757,San Jose,Disk,159.0
762,Redding,Light,45.0
799,Phelan,Fireball,6.0
800,Santa Cruz,Disk,35.0
813,Garden Grove,Rectangle,29.0
824,Santa Rosa,Other,67.0
831,Cutler,Circle,2.0
838,Lancaster,,28.0
