,City,State,Latitude,Longitude
1,Solomons Island,MD,,
2,Garden Grove,CA,,
3,Panama City,FL,,
4,Houston,TX,,
5,Santa Fe,NM,,
6,Kent,WA,,
7,Bellevue,WA,,
8,Angola,IN,,
9,Gulf of Mexico,LA,,
10,Albany,ME,,
11,Carlsbad,CA,,
12,Ophir Mountain,UT,,
13,Milford,CA,,
14,Gig Harbor,WA,,
15,Attleboro,MA,,
16,Ignacio,CO,,
17,Rosburg,WA,,
18,Shark River Hills,NJ,,
19,Daggett,CA,,
20,New Britain (?),CT,,
21,New York City (Staten Island),NY,,
24,Bonaire,GA,,
25,Mesa,AZ,,
26,Waco,TX,,
27,Ringgold,GA,,
28,Summerville,SC,,
29,Green Bay,WI,,
30,Pelzer,SC,,
31,Lake Geneva,WI,,
32,Plattsmouth,NE,,
33,Chester,NJ,,
34,Varysburg,NY,,
35,El Centro,CA,,
36,Stevens Pass,WA,,
37,McCleary,WA,,
38,Seattle,WA,,
39,Gig Harbor,WA,,
40,Edmonds,WA,,
41,Lynnwood,WA,,
42,Perkinston,MS,,
45,Warren,OH,,
46,Los Angeles (Eagle Rock),CA,,
47,Ocala,FL,,
49,Iola,IL,,
50,Oak Hill,WV,,
51,Fort Ann,NY,,
52,Paramus (souh of),NJ,,
53,Greentown,IN,,
55,Schuyler County,IL,,
56,Krum,TX,,
57,,CT,,
59,Middletown,NJ,,
62,Milwaukee/West Allis/West Milwaukee,WI,,
63,Coxsacke,NY,,
64,Cannon AFB,NM,,
65,Baton Rouge,LA,,
66,Tallahassee,FL,,
69,Four Corners,NM,,
70,Alexandria,LA,,
71,Trout Run,PA,,
72,Roswell,NM,,
73,Farina,IL,,
74,Los Osos,CA,,
75,Gladewater,TX,,
76,Frankfort,IN,,
77,San Diego,CA,,
78,Malabar,FL,,
79,Goleta,CA,,
80,Houston,TX,,
82,Beal AFB,CA,,
83,Tulsa,OK,,
84,Frisco,CO,,
85,Muskegon,MI,,
86,Fort Gay,WV,,
87,Hartsgrove,OH,,
88,Richmond,CA,,
89,San Antonio,TX,,
90,Baraboo,WI,,
91,Catawba,OH,,
92,Level Cross,NC,,
93,Golden Valley,MN,,
94,Soquel,CA,,
95,Northern California,CA,,
96,Henry County,OH,,
97,Providence,RI,,
98,Salem,OR,,
99,Old Appleton,MO,,
100,Salt Lake City,UT,,
101,Fort Myers,FL,,
102,Sebastopol,MS,,
105,Ft. Campbell,KY,,
106,Nettleton,MS,,
107,Pampa,TX,,
108,Deerfield Beach,FL,,
109,Colorado Springs,CO,,
110,Las Vegas,NV,,
111,Gwinn,MI,,
112,Methuen,MA,,
113,Los Angeles,CA,,
114,Brooklyn,MI,,
115,Alpha,IL,,
116,Urbana,IL,,
117,Commerce Township,MI,,
118,Port St. Lucie,FL,,
119,Indianola,IA,,
120,Quartzite,AZ,,
121,South Bend,IN,,
122,Jackson,MS,,
123,Jacksonville,FL,,
124,Vincennes,IN,,
125,Vincennes,IN,,
126,Perry,OK,,
127,Perry,OK,,
128,Bellingham,WA,,
129,Bensalem,PA,,
130,Beavercreek,OH,,
131,Montebello,CA,,
134,Mechanicsville,IA,,
135,Elba,NY,,
136,Tampa,FL,,
137,Salinas,CA,,
138,Ashland,OH,,
140,Waco/Amarillo (enroute to),TX,,
141,Aransas Pass,TX,,
143,Rancho Tehama,CA,,
144,Cockeysville,MD,,
147,Portland,OR,,
148,Liberty County (on highway),MT,,
149,Valencia,CA,,
150,Wendover,UT,,
151,Sulphur,LA,,
152,New Rochelle,NY,,
153,Hunstville,AL,,
155,Colville,WA,,
156,West Plains,MO,,
158,Los Angeles,CA,,
160,Winston-Salem (north of),NC,,
161,Ellensburg,WA,,
162,Danville,OH,,
163,Waynesboro,VA,,
164,Moscow Mills,MO,,
165,Sulphur springs,TX,,
166,Sulphur Springs,TX,,
168,Newberry,MI,,
170,Scales Mound,IL,,
171,Sterling,VA,,
172,Bristol,RI,,
173,New York City (Brooklyn),NY,,
174,Columbus,OH,,
175,Albuquerque,NM,,
176,Minneapolis,MN,,
177,Shanadoah,IA,,
178,McCook Lake,SD,,
179,Arnold,MO,,
180,New Rochelle,NY,,
181,West Bloomfield,MI,,
182,Hull,GA,,
183,Camdenton,MO,,
184,Manasota Key,FL,,
185,Akron,OH,,
186,Lockwood,CA,,
187,Rapid City,MI,,
189,Roseville,CA,,
190,West Islip,NY,,
191,Mobile,AL,,
192,Pebble Beach,CA,,
193,Santa Rosa,CA,,
194,East Hartford,CT,,
196,Shawnee Mission,KS,,
198,Crestline (Silverwood Lake),CA,,
199,Annapolis,MD,,
200,Tracy (near; on I-5; close to Gilroy),CA,,
201,Perryville,MO,,
202,Highlands Ranch,CO,,
203,Stonewall,LA,,
204,Burlington,ND,,
205,Hampton,NH,,
206,Lake Alpine,CA,,
207,Harrisburg,PA,,
208,Modesto,CA,,
209,North Charleston,SC,,
210,Casa Grande,AZ,,
211,Casa Grande,AZ,,
212,Mumford,NY,,
214,Midland,SD,,
215,Pierre,SD,,
216,Monhegan Island,ME,,
217,Chicago,IL,,
218,Binghamton,NY,,
220,Dearborn,MI,,
222,Tukwila,WA,,
223,Fort Bragg,NC,,
225,Belen,NM,,
226,Grimsby,VA,,
228,Lubbock,TX,,
229,Hawkinsville,GA,,
230,Edmond,OK,,
231,Manchester,KY,,
232,Edinboro (near),PA,,
233,San Angelo,TX,,
234,Schaumburg,IL,,
235,Ft. Myers Beach (off coast of),FL,,
236,Snow Shoe (in general area of),PA,,
238,Kirtland,OH,,
239,Nashville,TN,,
240,Detroit,MI,,
241,Rupert,ID,,
242,Avon,NC,,
243,Antwerp,OH,,
244,Bridgewater,SD,,
245,Sacramento,CA,,
246,Adamsville,AL,,
247,Enterprise,AL,,
248,NYC/Westchester area,NY,,
249,Key West,FL,,
250,Franklin,IN,,
251,Clarinda,IA,,
252,San Francisco,CA,,
253,Chester,SC,,
254,Point Pleasant,WV,,
255,Coon Rapids,MN,,
256,,VA,,
257,Dillsburg,PA,,
258,Las Vegas,NM,,
259,Dunns Mills,NJ,,
260,Kodiak,AK,,
261,Darien,WI,,
262,Richland Center,WI,,
263,Albuquerque,NM,,
264,Skippers,VA,,
266,Cape May Court House,NJ,,
267,Vance,SC,,
268,Carmel,CA,,
269,Mansfield,OH,,
270,West Palm Beach,FL,,
271,Kansas (on interstate),KS,,
272,Kansas (location unspecified),KS,,
273,Fairbanks,AK,,
274,Waterford,WI,,
276,Soddy Daisy,TN,,
277,Portland,OR,,
278,Dallas,TX,,
279,Lebanon,OR,,
280,Estes Park,CO,,
281,Madison,WI,,
283,Bauxite,AR,,
284,New Orleans,LA,,
285,Palm Springs,CA,,
286,Cleveland,GA,,
287,Sacramento,CA,,
290,Flagstaff,AZ,,
291,Post (3 mi. west of),TX,,
292,Compton,CA,,
293,Southington,CT,,
294,Pacific City,OR,,
295,Hikilki,MN,,
296,Jasper,AR,,
297,Galax,VA,,
298,Johnstown,PA,,
300,Fyffe,AL,,
305,Boulder City,NV,,
306,Marion,OH,,
307,Panama City Beach,FL,,
308,Montrose,IL,,
309,Jonesboro,IN,,
310,Cartwright,ND,,
311,Bakersfield,CA,,
313,Ashtabula,OH,,
314,Airway Heights (rural; N of Fairchild AFB),WA,,
315,Sturgis,MI,,
316,Dixon,IL,,
317,Northport,NY,,
318,Lewisburg,PA,,
319,Lexington,SC,,
320,Shawnee,KS,,
322,Corbin/Williamsburg,KY,,
323,Shingletown,CA,,
325,Idaho Falls,ID,,
326,Hiko (outside of ),NV,,
328,Pinecastle,FL,,
329,Iron Moutain,MI,,
330,Jasper,AL,,
331,On highway; location unknown,WY,,
332,Northern Oglala,SD,,
333,St. Charles,MO,,
335,Phoenix,AZ,,
336,Barksdale AFB,LA,,
337,Kansas City (north),MO,,
338,Riverton,WY,,
339,Davenport,WA,,
340,Sacramento,CA,,
341,Interstate (I-295 ??),DE,,
342,Bristol,TN,,
343,Franklin,TN,,
345,Corpus Christi,TX,,
346,Lost Park area,CO,,
347,Townsend,DE,,
348,Ventura,CA,,
349,Sandusky,OH,,
350,Spokane,WA,,
353,Gonzales,CA,,
354,Batavia,OH,,
355,Milford,DE,,
357,Los Osos,CA,,
358,Georgetown,IL,,
359,Bridgeport,CT,,
360,Tucson,AZ,,
361,Renton,WA,,
363,Lorain,OH,,
365,Rowland Heights,CA,,
366,Venice,FL,,
367,Gig Harbor,WA,,
368,Guilford,CT,,
369,South Jordan,UT,,
370,Breckenridge,MN,,
372,Fremont,MI,,
373,Andover,MA,,
374,Kankakee/Dwight (between; rural),IL,,
375,Ponca City,OK,,
376,Coalinga,CA,,
377,Bay Point/ Pittsburg,CA,,
378,Jackson,LA,,
379,Cherokee Pass,MO,,
380,Oxford,ME,,
381,Mosier,OR,,
382,Blyville,AR,,
383,Grand Rapids,MI,,
384,Bald Eagle Lake,MN,,
386,Seattle,WA,,
387,San Jose,CA,,
388,Omaha (~ 60 mi. NW of),NE,,
389,Millstadt,IL,,
390,Pauls Valley,OK,,
391,Luna Pier,MI,,
392,Dannemora,NY,,
393,Chicago,IL,,
394,San Diego,CA,,
396,Grapevine,CA,,
397,Ivanhoe,CA,,
398,Chicago,IL,,
399,Port Huron,MI,,
400,Grand Marais,MN,,
402,Spokane,WA,,
403,Salem,OR,,
404,Hobe Sound,FL,,
405,Gaylesville,AL,,
406,Vancouver,WA,,
408,Centerville,IA,,
409,Grandville,MI,,
410,Vancouver,WA,,
411,Casa Grande,AZ,,
413,Milwaukee,WI,,
414,New York City (Manhattan),NY,,
415,Spokane,WA,,
416,San Jose,CA,,
417,Aberdeen,WA,,
419,St. David,IL,,
420,LaCygne,KS,,
422,"Boring, Sandy area",OR,,
423,Colorado Springs,CO,,
424,Hinsdale (unincorporated area),IL,,
425,Columbia Falls,MT,,
426,Bath,ME,,
427,Redland,OR,,
429,Florence,MT,,
431,Alsea,OR,,
432,Highland Park,MI,,
433,Sutton,WV,,
434,Paola,KS,,
435,Coon Rapids,MN,,
436,Zanesville,OH,,
437,Bicknell,IN,,
438,Junction City,OH,,
439,Nassau,NY,,
440,Channelview,TX,,
441,Austin,TX,,
442,Chesapeak Bay,MD,,
443,Yadkinville,NC,,
444,White River National Forest,AR,,
445,Round Rock,TX,,
447,Buffalo,NY,,
448,Taylor,MI,,
449,Sierra Vista,AZ,,
451,Lexington,MA,,
452,Tulsa,OK,,
453,Jersey,NJ,,
454,Miami,OK,,
456,Munds Park,AZ,,
457,Lancaster,CA,,
458,St. Petersburg,FL,,
459,San Antonio,TX,,
460,Dubois,PA,,
461,Rocky Mount,NC,,
462,Anaheim,CA,,
463,Millwood,KY,,
464,Kayenta,AZ,,
465,Simpsonville,KY,,
466,Nashville,IN,,
469,Henderson,KY,,
470,San Francisco,CA,,
471,St. Louis,MO,,
472,San Mateo,CA,,
473,Radcliffe,TN,,
474,Torrance,CA,,
475,Ephrata,WA,,
476,Walker County (not in city),TX,,
477,Las Vegas,NV,,
478,Boaz,AL,,
479,SC/NC (I-85),SC,,
480,Lake Shasta,CA,,
481,Fulton,AR,,
484,Gibsonville,NC,,
485,Colombiana,AL,,
487,Deming,NM,,
488,Fairborn,OH,,
489,Cape Canaveral,FL,,
