,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
1,Solomons Island,MD,Disk,1997-09-22,20:00,Segunda-feira,22,9
2,Garden Grove,CA,Rectangle,1997-09-19,00:00,Sexta-feira,19,9
3,Panama City,FL,Unknown,1997-09-18,20:15,Quinta-feira,18,9
4,Houston,TX,Disk,1997-09-15,00:00,Segunda-feira,15,9
5,Santa Fe,NM,Light,1997-09-15,20:00,Segunda-feira,15,9
6,Kent,WA,Sphere,1997-09-15,20:00,Segunda-feira,15,9
8,Angola,IN,Circle,1997-09-15,20:00,Segunda-feira,15,9
9,Gulf of Mexico,LA,Cigar,1997-09-07,12:00,Domingo,7,9
10,Albany,ME,Light,1997-09-01,23:00,Segunda-feira,1,9
11,Carlsbad,CA,Light,1997-09-01,22:30,Segunda-feira,1,9
12,Ophir Mountain,UT,Circle,1997-10-30,00:00,Quinta-feira,30,10
13,Milford,CA,Disk,1997-10-22,15:00,Quarta-feira,22,10
14,Gig Harbor,WA,Light,1997-10-20,08:45,Segunda-feira,20,10
15,Attleboro,MA,Light,1997-10-19,02:00,Domingo,19,10
16,Ignacio,CO,Triangle,1997-10-17,20:00,Sexta-feira,17,10
17,Rosburg,WA,Triangle,1997-10-15,20:00,Quarta-feira,15,10
18,Shark River Hills,NJ,Triangle,1997-10-15,19:00,Quarta-feira,15,10
19,Daggett,CA,Rectangle,1997-10-15,17:30,Quarta-feira,15,10
20,New Britain (?),CT,Rectangle,1997-10-15,17:00,Quarta-feira,15,10
24,Bonaire,GA,Triangle,1997-10-10,20:00,Sexta-feira,10,10
25,Mesa,AZ,Sphere,1997-10-10,17:00,Sexta-feira,10,10
26,Waco,TX,Light,1997-10-03,21:30,Sexta-feira,3,10
27,Ringgold,GA,Circle,1997-10-02,02:00,Quinta-feira,2,10
28,Summerville,SC,Triangle,1997-10-01,22:00,Quarta-feira,1,10
29,Green Bay,WI,Light,1997-10-01,19:00,Quarta-feira,1,10
30,Pelzer,SC,Triangle,1997-10-01,19:00,Quarta-feira,1,10
31,Lake Geneva,WI,Fireball,1997-11-28,19:30,Sexta-feira,28,11
32,Plattsmouth,NE,Circle,1997-11-21,12:00,Sexta-feira,21,11
33,Chester,NJ,Circle,1997-11-15,23:00,Sábado,15,11
34,Varysburg,NY,Triangle,1997-11-15,21:30,Sábado,15,11
35,El Centro,CA,Oval,1997-11-15,20:00,Sábado,15,11
36,Stevens Pass,WA,Disk,1997-11-14,22:00,Sexta-feira,14,11
37,McCleary,WA,Unknown,1997-11-14,21:00,Sexta-feira,14,11
39,Gig Harbor,WA,Formation,1997-11-14,21:00,Sexta-feira,14,11
40,Edmonds,WA,Unknown,1997-11-14,20:00,Sexta-feira,14,11
41,Lynnwood,WA,Oval,1997-11-14,20:00,Sexta-feira,14,11
42,Perkinston,MS,Cigar,1997-11-09,21:00,Domingo,9,11
45,Warren,OH,Other,1997-12-31,20:30,Quarta-feira,31,12
46,Los Angeles (Eagle Rock),CA,Disk,1997-12-25,09:00,Quinta-feira,25,12
47,Ocala,FL,Fireball,1997-12-17,00:15,Quarta-feira,17,12
49,Iola,IL,Fireball,1997-12-15,22:00,Segunda-feira,15,12
50,Oak Hill,WV,Triangle,1997-12-15,18:00,Segunda-feira,15,12
51,Fort Ann,NY,Other,1997-12-10,20:00,Quarta-feira,10,12
52,Paramus (souh of),NJ,Fireball,1997-12-01,23:30,Segunda-feira,1,12
53,Greentown,IN,Cigar,1997-12-01,22:00,Segunda-feira,1,12
55,Schuyler County,IL,Unknown,1998-01-27,19:30,Terça-feira,27,1
56,Krum,TX,Unknown,1998-01-17,16:30,Sábado,17,1
59,Middletown,NJ,Fireball,1998-01-11,06:55,Domingo,11,1
62,Milwaukee/West Allis/West Milwaukee,WI,Changing,1998-01-01,23:00,Quinta-feira,1,1
63,Coxsacke,NY,Light,1998-01-01,20:30,Quinta-feira,1,1
65,Baton Rouge,LA,Circle,1998-01-01,13:00,Quinta-feira,1,1
66,Tallahassee,FL,Triangle,1998-02-26,22:30,Quinta-feira,26,2
69,Four Corners,NM,Other,1998-02-01,00:30,Domingo,1,2
70,Alexandria,LA,Triangle,1998-03-25,23:30,Quarta-feira,25,3
71,Trout Run,PA,Fireball,1998-03-18,02:00,Quarta-feira,18,3
72,Roswell,NM,Triangle,1998-03-15,00:00,Domingo,15,3
73,Farina,IL,Fireball,1998-03-15,22:30,Domingo,15,3
74,Los Osos,CA,Sphere,1998-03-15,21:30,Domingo,15,3
75,Gladewater,TX,Triangle,1998-03-15,19:00,Domingo,15,3
76,Frankfort,IN,Triangle,1998-03-14,21:00,Sábado,14,3
77,San Diego,CA,Circle,1998-03-13,21:00,Sexta-feira,13,3
78,Malabar,FL,Triangle,1998-03-07,08:00,Sábado,7,3
79,Goleta,CA,Circle,1998-03-05,10:00,Quinta-feira,5,3
80,Houston,TX,Sphere,1998-03-03,20:00,Terça-feira,3,3
82,Beal AFB,CA,Disk,1998-03-01,02:30,Domingo,1,3
83,Tulsa,OK,Circle,1998-04-28,22:00,Terça-feira,28,4
84,Frisco,CO,Oval,1998-04-25,20:00,Sábado,25,4
85,Muskegon,MI,Other,1998-04-20,21:00,Segunda-feira,20,4
86,Fort Gay,WV,Disk,1998-04-16,15:00,Quinta-feira,16,4
87,Hartsgrove,OH,Disk,1998-04-15,20:30,Quarta-feira,15,4
88,Richmond,CA,Disk,1998-04-15,20:00,Quarta-feira,15,4
90,Baraboo,WI,Sphere,1998-04-15,08:20,Quarta-feira,15,4
91,Catawba,OH,Triangle,1998-04-15,07:45,Quarta-feira,15,4
92,Level Cross,NC,Unknown,1998-04-12,17:00,Domingo,12,4
94,Soquel,CA,Other,1998-04-05,11:50,Domingo,5,4
95,Northern California,CA,Light,1998-04-04,23:00,Sábado,4,4
96,Henry County,OH,Triangle,1998-04-01,21:00,Quarta-feira,1,4
97,Providence,RI,Circle,1998-04-01,13:00,Quarta-feira,1,4
98,Salem,OR,Oval,1998-05-30,21:00,Sábado,30,5
99,Old Appleton,MO,Unknown,1998-05-20,23:00,Quarta-feira,20,5
101,Fort Myers,FL,Circle,1998-05-20,01:00,Quarta-feira,20,5
102,Sebastopol,MS,Light,1998-05-15,21:45,Sexta-feira,15,5
105,Ft. Campbell,KY,Circle,1998-05-15,07:30,Sexta-feira,15,5
106,Nettleton,MS,Light,1998-05-15,07:30,Sexta-feira,15,5
107,Pampa,TX,Light,1998-05-12,03:00,Terça-feira,12,5
108,Deerfield Beach,FL,Light,1998-05-08,21:40,Sexta-feira,8,5
109,Colorado Springs,CO,Other,1998-05-06,20:00,Quarta-feira,6,5
110,Las Vegas,NV,Triangle,1998-05-03,21:00,Domingo,3,5
111,Gwinn,MI,Triangle,1998-05-01,22:00,Sexta-feira,1,5
